COMMAND     PID        USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
limactl   28582 rohansharma   90u  IPv4 0x939c7731f02396a9      0t0  TCP 127.0.0.1:5522 (LISTEN)
limactl   28582 rohansharma   91u  IPv4 0xecb8b8cbd3a0b226      0t0  TCP 127.0.0.1:5529 (LISTEN)
limactl   28582 rohansharma   92u  IPv4 0xbeb8c1b9be7d5285      0t0  TCP 127.0.0.1:5528 (LISTEN)
limactl   28582 rohansharma   93u  IPv4 0x7f0aa12648699ffe      0t0  TCP 127.0.0.1:5509 (LISTEN)
limactl   28582 rohansharma   94u  IPv4 0xce679a4bec1767ab      0t0  TCP 127.0.0.1:5508 (LISTEN)
limactl   28582 rohansharma   95u  IPv4 0x20b415968035faf1      0t0  TCP 127.0.0.1:5511 (LISTEN)
limactl   28582 rohansharma   96u  IPv4 0xc42fed7edb684e52      0t0  TCP 127.0.0.1:5510 (LISTEN)
limactl   28582 rohansharma   97u  IPv4 0x8c6829218be28840      0t0  TCP 127.0.0.1:5505 (LISTEN)
limactl   28582 rohansharma   98u  IPv4 0x46484c6cb32b6bbd      0t0  TCP 127.0.0.1:5504 (LISTEN)
limactl   28582 rohansharma   99u  IPv4 0x5fcb5e8b07298469      0t0  TCP 127.0.0.1:5507 (LISTEN)
limactl   28582 rohansharma  100u  IPv4 0x7839b63d14e7e80f      0t0  TCP 127.0.0.1:5506 (LISTEN)
limactl   28582 rohansharma  101u  IPv4  0x70cd1edbad8b675      0t0  TCP 127.0.0.1:5517 (LISTEN)
limactl   28582 rohansharma  102u  IPv4 0x2a048b095a28c16f      0t0  TCP 127.0.0.1:5516 (LISTEN)
limactl   28582 rohansharma  103u  IPv4 0x6aedc9363e192ffe      0t0  TCP 127.0.0.1:5519 (LISTEN)
limactl   28582 rohansharma  104u  IPv4 0x6328eedf19353e82      0t0  TCP 127.0.0.1:5518 (LISTEN)
limactl   28582 rohansharma  105u  IPv4 0x903b193b0316d02e      0t0  TCP 127.0.0.1:5513 (LISTEN)
limactl   28582 rohansharma  106u  IPv4 0x349d5e4a3cb25efa      0t0  TCP 127.0.0.1:5512 (LISTEN)
limactl   28582 rohansharma  107u  IPv4 0x5d116c5590c66eaf      0t0  TCP 127.0.0.1:5515 (LISTEN)
limactl   28582 rohansharma  108u  IPv4 0xb5555ef7fd9feba3      0t0  TCP 127.0.0.1:5514 (LISTEN)
limactl   28582 rohansharma  109u  IPv4 0x308f3ac1fbbecefb      0t0  TCP 127.0.0.1:5501 (LISTEN)
limactl   28582 rohansharma  110u  IPv4  0xb523fd58b82dfa5      0t0  TCP 127.0.0.1:5500 (LISTEN)
limactl   28582 rohansharma  111u  IPv4 0xf87b999b3ffe7e3f      0t0  TCP 127.0.0.1:5503 (LISTEN)
limactl   28582 rohansharma  112u  IPv4 0xac8657470e3ab884      0t0  TCP 127.0.0.1:5502 (LISTEN)
